to_stop_I,n_vehicles,route_I_counts,route_type,from_stop_I,duration_avg,BUS,TRAM,RAIL,SUBWAY,id,stop_I,name,latitude,longitude,lon_bus,lat_bus,lon_tram,lat_tram,stop_lon,stop_lat
2607,69,"{'257': 33, '268': 6, '358': 8, '246': 22}",3,183,100.0,1,0,0,0,133,183,TOR PAGNOTTA/PELOSI,41.802399,12.486031,12.486031,41.802399,12.490687,41.801269,12.486031,41.802399
8104,8,{'358': 8},3,184,438.0,1,0,0,0,134,184,TOR PAGNOTTA/PELOSI,41.802705,12.485537,12.485537,41.802705,12.484501,41.815532,12.485537,41.802705
1962,33,{'257': 33},3,184,259.0,1,0,0,0,134,184,TOR PAGNOTTA/PELOSI,41.802705,12.485537,12.485537,41.802705,12.484137,41.809306,12.485537,41.802705
236,19,{'246': 19},3,184,247.0,1,0,0,0,134,184,TOR PAGNOTTA/PELOSI,41.802705,12.485537,12.485537,41.802705,12.485185,41.809092,12.485537,41.802705
8101,7,{'268': 7},3,184,247.0,1,0,0,0,134,184,TOR PAGNOTTA/PELOSI,41.802705,12.485537,12.485537,41.802705,12.484973,41.809137,12.485537,41.802705
6410,1,{'147': 1},3,186,207.0,1,0,0,0,135,186,BUAZZELLI/FABBRI,41.940424,12.56696,12.56696,41.940424,12.566797,41.9459,12.56696,41.940424
4157,2,{'147': 2},3,186,182.0,1,0,0,0,135,186,BUAZZELLI/FABBRI,41.940424,12.56696,12.56696,41.940424,12.569259,41.944192,12.56696,41.940424
6406,1,{'136': 1},3,186,118.0,1,0,0,0,135,186,BUAZZELLI/FABBRI,41.940424,12.56696,12.56696,41.940424,12.565141,41.943535,12.56696,41.940424
1231,1,{'136': 1},3,186,141.0,1,0,0,0,135,186,BUAZZELLI/FABBRI,41.940424,12.56696,12.56696,41.940424,12.568492,41.943509,12.56696,41.940424
8174,73,{'184': 73},3,187,50.0,1,0,0,0,136,187,NAIDE/NICANDRO,41.915602,12.605405,12.605405,41.915602,12.602363,41.91348,12.605405,41.915602
5504,175,{'98': 175},3,188,126.0,1,0,0,0,137,188,CAMBELLOTTI,41.869434,12.631965,12.631965,41.869434,12.627221,41.862455,12.631965,41.869434
3549,22,{'246': 22},3,233,108.0,1,0,0,0,145,233,LAURENTINA/CELINE,41.809304,12.484701,12.484701,41.809304,12.483436,41.805454,12.484701,41.809304
2504,19,{'246': 19},3,234,62.0,1,0,0,0,146,234,LAURENTINA/SILONE,41.813061,12.486156,12.486156,41.813061,12.484809,41.815103,12.486156,41.813061
234,19,{'246': 19},3,235,52.0,1,0,0,0,147,235,LAURENTINA/MERCATO,41.811112,12.486338,12.486338,41.811112,12.486156,41.813061,12.486338,41.811112
